id	treat	first	second	third	new
29	alpha	-0.574198672828672	47	0.0952494482203835	1.32120994833848e+22
30	alpha	0.753089507857348	30	0.0999562374290524	8.7518764648969e+21
31	alpha	-2.26863031520689	12	0.340871976735679	2.76940452743103e+21
32	alpha	-0.836389424741316	22	0.0806981900703577	6.02285195633843e+21
33	alpha	-0.814947823847249	26	6.35591333782895e-14	7.16729502417491e+21
34	alpha	-0.0503041851976102	38	6.21446330467452e-12	1.07999246568936e+22
35	alpha	1.77370684831853	3	0.00404653615354381	1.35852668088654e+21
36	alpha	-0.341444382242628	49	8.25693831991766e-06	1.38475084793716e+22
37	alpha	-0.268604260637704	32	6.58717670091491e-06	9.03028801378477e+21
38	alpha	-0.491016025503344	45	0.170220247759438	1.26666014880666e+22
39	alpha	0.727414796859243	10	0.000347197159055349	3.05286430053903e+21
40	alpha	-1.20724032524699	20	0.000169331604164719	5.34814269850553e+21
41	alpha	1.30106099071935	2	0.0183455863252352	9.39433353077727e+20
42	alpha	1.42127320036479	33	9.44466851508614e-06	9.79578753338229e+21
43	alpha	0.887761447902139	6	2.21176125232862e-07	1.96015549255034e+21
44	alpha	0.111756749523774	10	4.98385257289836e-06	2.87765708522744e+21
45	alpha	-0.00379088717524674	47	7.93740928678879e-11	1.33744291404874e+22
46	alpha	-1.47528545482428	7	5.68405032536904e-08	1.57225241356135e+21
47	alpha	0.500523669675795	17	0.000580754135808624	4.98039135836658e+21
48	alpha	0.709729849761549	33	7.85680772603259e-09	9.59329277257762e+21
49	alpha	-0.577637391200493	39	1.40722982741228	1.09344386669109e+22
50	alpha	0.174639168810403	38	1.86681255978985e-06	1.08639402233743e+22
51	alpha	0.792699201364703	19	9.53925635682074e-05	5.63271076465176e+21
52	alpha	1.18644919203008	14	5.77126838356896e-06	4.32183983450256e+21
53	alpha	-1.86711257441912	4	0.00887941782492677	6.06988356647761e+20
54	alpha	1.92205211474459	7	2.24002126066056e-12	2.53908466340158e+21
55	alpha	1.44280645900508	13	2.68273933024088e-08	4.11021006209253e+21
56	alpha	-1.80195507135348	38	0.00756010164679735	1.03014306060326e+22
57	alpha	1.95693554906907	2	0.286556660336825	1.12608559527534e+21
58	alpha	0.512784965033338	39	0.0532602639772874	1.12447568140968e+22
59	alpha	0.182221531517556	26	4.63638732652184e-05	7.45107474037233e+21
60	alpha	3.23055369430831	30	9.64790725294411e-08	9.4569262941339e+21
61	alpha	0.439735065418832	29	2.35403973954335e-10	8.37811512843317e+21
62	alpha	-0.688116250878998	7	0.123276945813091	1.79626917871076e+21
63	alpha	-0.692947160779826	5	0.0107899966996632	1.22572382091911e+21
64	alpha	-1.28268906234329	46	6.15140431714691e-12	1.2725888274372e+22
65	alpha	0.0923584100409502	14	0.000682211390899461	4.01047770736067e+21
66	alpha	-1.77365245491498	16	6.22617358009512e-05	4.04860904233579e+21
67	alpha	0.55481759387215	34	0.00146379820615064	9.83379230146445e+21
68	alpha	-0.772915651299056	13	0.142660879576742	3.47964817383191e+21
69	alpha	0.980017943947724	19	0.00528792327152835	5.68601892070638e+21
70	alpha	0.59079254851075	23	8.02121572919763e-08	6.71359220805523e+21
71	alpha	0.933956339905023	2	0.0144900924857634	8.34960774711407e+20
72	alpha	-0.463130261700495	50	0.00289331708791537	1.40974637457651e+22
73	alpha	-0.382627769840677	19	3.33478693028454e-14	5.29823001418203e+21
74	alpha	-0.460686427929933	17	2.04298673689499e-06	4.70684511746264e+21
75	alpha	-0.162939141627422	37	0.0863338774339131	1.04832851307507e+22
76	alpha	-0.939605241518603	40	2.17967050346326e-09	1.11160132223136e+22
77	alpha	0.992435602096656	11	0.000114698498913545	3.41287059552066e+21
78	alpha	1.23629069977203	8	4.31493036525846e-13	2.62851233784585e+21
79	alpha	-0.00156328397319593	15	0.0329368425257093	4.26833425213108e+21
80	alpha	2.00850224941255	31	0.000123583703419413	9.39373372240601e+21
81	alpha	-1.19234321264876	32	1.26932333508242e-12	8.76740550919126e+21
82	alpha	0.0012673211883586	42	1.75957855962152e-08	1.19529422521998e+22
83	alpha	1.05547745960778	43	0.0309828776392363	1.25375402113672e+22
84	alpha	-0.122813340292149	16	0.651045404779749	4.51841354737284e+21
85	alpha	-1.62141348742413	31	0.0746542595510666	8.36071315064644e+21
86	alpha	-0.237116117529405	35	0.0474382149521316	9.89300490362782e+21
87	alpha	-2.70190492085275	48	3.24894489796412	1.28911708895641e+22
88	alpha	-0.161927568590272	16	0.272463852075356	4.50728221391779e+21
89	alpha	-0.337322158097436	25	0.0899458200844926	7.01863498009634e+21
90	alpha	-0.0203442061124435	8	0.00646646347056684	2.27089254634594e+21
91	alpha	-3.72706947276513	4	0.590036142343788	77672009417085222912
92	alpha	-0.83811686653698	50	3.10942718635965e-17	1.39907480793381e+22
93	alpha	-1.38616249127981	19	0.2944531063713	5.01263880852362e+21
94	alpha	0.756865083692242	16	4.70739189441388e-05	4.76875707443797e+21
95	alpha	-0.94237411010667	24	1.26703635318413e-09	6.56186082736812e+21
96	alpha	-0.302451609620729	14	1.2029781856564	3.89812058895474e+21
97	alpha	0.667384458442238	14	1.09281374372119e-08	4.17412165404187e+21
98	alpha	1.17136025101326	45	4.10863595636775e-12	1.31396892995052e+22
99	alpha	-1.42616623538648	29	4.21132781855969e-05	7.84710709178806e+21
100	alpha	1.26919024402762	20	0.221102682115056	6.05289837551314e+21
101	bravo	0.917297192452861	24	4.29737572182134e-11	7.09109589824308e+21
102	bravo	1.74020224732232	16	1.9333030048774e-07	5.04860035253312e+21
103	bravo	2.20981533880727	16	2.78445652946712e-05	5.18224532377819e+21
104	bravo	1.81118018984376	33	1.59149266405226e-05	9.90674932159053e+21
105	bravo	1.53109653045703	29	0.00130822418072611	8.68870053215733e+21
106	bravo	2.37993773823005	47	6.88771155199514e-15	1.40528032092149e+22
107	bravo	2.13490617216229	11	0.000333974836666012	3.73800089800426e+21
108	bravo	1.9254242052751	6	0.117515509312684	2.25545903473371e+21
109	bravo	1.96679410663249	25	0.653932178646324	7.67435254318943e+21
110	bravo	1.54535357009226	23	0.00162184249366989	6.9852462198238e+21
111	bravo	1.43450579108356	30	0.00217998002253323	8.94579750591755e+21
112	bravo	2.16440253099933	13	0.22390055887814	4.31556567938864e+21
113	bravo	2.4346234365519	29	0.00217949988686505	8.94583098608562e+21
114	bravo	1.49092117862045	14	0.000935218602583012	4.40848807883521e+21
115	bravo	1.61447179555979	2	4.45377469056652e-07	1.02862545346903e+21
116	bravo	0.803055495558934	17	0.141698675410008	5.06648746152891e+21
117	bravo	3.23164066634373	8	0.000108464166682558	3.19635955876361e+21
118	bravo	1.96911838346223	23	0.0012705030311156	7.10584344618821e+21
119	bravo	3.44507565340195	37	0.0889169947971535	1.15100730169417e+22
120	bravo	2.83888458904296	3	0.000817431726820882	1.66166058220063e+21
121	bravo	-1.28697873680374	42	0.00184584775800053	1.15863263922533e+22
122	bravo	2.23272334219634	30	0.000367666452205726	9.17295846799476e+21
123	bravo	2.82551285784832	48	3.03889881312656e-08	1.44641926035843e+22
124	bravo	2.72442594697645	42	0.00371855724983495	1.27279131012629e+22
125	bravo	3.54671651797236	1	5.42161794954811e-06	1.2939285750797e+21
126	bravo	0.948820294104914	1	2.56175067381022e-10	5.54605561237433e+20
127	bravo	3.6348424319424	33	2.45315757247897e-05	1.04257367440564e+22
128	bravo	1.50067992262608	7	0.000283331938306986	2.41916834181634e+21
129	bravo	2.53654641576647	4	2.05537401731706e-07	1.86020486570094e+21
130	bravo	1.65099776797452	23	1.15226776459104e-10	7.01531100303403e+21
131	bravo	2.4681222883887	3	0.003867342717446	1.55614709054516e+21
132	bravo	2.24433239662232	41	1.84072841749942e-07	1.2306700269756e+22
133	bravo	1.02033105998317	33	1.94151167005052	9.68168530370892e+21
134	bravo	3.59094514189699	50	8.46262435836807e-06	1.52511939133502e+22
135	bravo	1.94133248868406	50	0.0665538922303452	1.4781738441172e+22
136	bravo	0.737559402939749	37	2.61341263538352e-06	1.07395537575778e+22
137	bravo	1.97858877823454	1	1.49109526243159e-14	8.47662509491168e+20
138	bravo	1.59729414673383	30	1.01609477430941e-06	8.99212467503696e+21
139	bravo	-0.0356549612180159	12	0.140579560730527	3.40487643480726e+21
140	bravo	3.37857936619487	41	3.51388523720663e-21	1.26294902566237e+22
141	bravo	3.12778290199518	11	1.63480369361815e-06	4.02055899617999e+21
142	bravo	2.90373943256244	29	1.20249144227131	9.07933449127792e+21
143	bravo	2.23273946998351	12	3.66699688219448e-13	4.05042809004709e+21
144	bravo	2.43158049930646	34	3.6689785156221e-15	1.03678913908605e+22
145	bravo	1.95570109974307	24	0.00961218602090323	7.3866103607802e+21
146	bravo	3.97830149745925	17	4.10423750770912e-05	5.97011572129089e+21
147	bravo	1.49499887399421	12	6.09986581709208e-08	3.84047797893425e+21
148	bravo	-0.680267991814135	19	0.00118984011862976	5.21352598946833e+21
149	bravo	-0.0521489004950859	22	0.396981400961419	6.24603526236742e+21
150	bravo	1.7084995239587	42	0.00237496621786549	1.24387953997908e+22
151	bravo	1.27206573552592	39	0.0403377476970346	1.14608369417153e+22
152	bravo	1.88432482821214	21	3.57713841629399e-05	6.51254189690159e+21
153	bravo	1.26618650493827	26	7.95919451290209e-05	7.75955521148823e+21
154	bravo	2.13285189906086	2	0.000192236603096056	1.17614879828753e+21
155	bravo	2.839540918665	9	0.0960843952781584	3.36935901984006e+21
156	bravo	2.37777621337653	33	0.000173632240886044	1.0067994207318e+22
157	bravo	3.34152210809175	21	8.54596296371835e-11	6.92723878695654e+21
158	bravo	3.82815941547658	25	0.362225416090545	8.2040697033104e+21
159	bravo	4.18124569497611	42	0.00319814464899885	1.31425025513036e+22
160	bravo	1.23213983924589	27	1.12140766844647e-05	8.03445130771803e+21
161	bravo	3.2073785253584	10	0.000734125689355958	3.75862546263965e+21
162	bravo	2.50562126489794	8	9.15552268037719e-09	2.98974512703477e+21
163	bravo	0.536009999125165	33	0.000617135578368434	9.54385466094069e+21
164	bravo	2.11665731490762	26	6.44441346591495e-06	8.00158668165811e+21
165	bravo	3.74064369083213	10	2.92175866653114e-06	3.91038487692765e+21
166	bravo	3.84901891487353	24	1.8512703455182e-07	7.92542073372099e+21
167	bravo	1.1602924061576	38	4.24615699408381e-06	1.11444426219475e+22
168	bravo	-0.239797160971835	32	0.0477300370676361	9.03848609019343e+21
169	bravo	2.20057580509305	12	1.36462795164812e-05	4.04127478459764e+21
170	bravo	1.94877277822734	48	7.13018488281014e-05	1.42146852860608e+22
171	bravo	1.66821606728899	6	1.12962846479906e-06	2.18226138580008e+21
172	bravo	1.81688725850017	2	0.000157756718564877	1.08622991385297e+21
173	bravo	3.78667741780732	30	0.0021581444232247	9.61519091746608e+21
174	bravo	2.22138200393539	44	0.000216187377624323	1.31539247538657e+22
175	bravo	-0.111745980208062	22	0.00174597889152892	6.22907481098957e+21
176	bravo	1.52375418811223	48	0.222681069830341	1.40937312532954e+22
177	bravo	0.655874887150121	20	1.07241109775401e-10	5.87835785541208e+21
178	bravo	1.99924917882666	31	6.07535025817053e-11	9.39110043475964e+21
179	bravo	2.47955633724362	39	6.91768507257018e-05	1.1804470987851e+22
180	bravo	1.48376321084368	17	0.00288381226518401	5.26020685454639e+21
181	bravo	2.17926048475218	16	0.00647600752972906	5.17354986220433e+21
182	bravo	3.00129614838718	3	0.028105349185115	1.70788052063929e+21
183	bravo	1.1503489470023	15	0.000264997060876023	4.59615151229044e+21
184	bravo	1.38660882395144	35	0.0985375998198988	1.03550931142182e+22
185	bravo	1.65661959598826	21	0.00615922622954372	6.44774034054658e+21
186	bravo	2.81380171023677	24	4.70663401156486	7.63081315983799e+21
187	bravo	3.3143777887507	34	3.24492437253582e-09	1.06191225011133e+22
188	bravo	2.17414098224775	21	1.449141953894	6.59501930708189e+21
189	bravo	4.15198383318722	35	0.007916254411889	1.11420781244157e+22
190	bravo	1.05880774102364	7	6.61914837186135e-07	2.29341802506618e+21
191	bravo	2.15887583045942	20	0.00564216078723529	6.30608979366516e+21
192	bravo	2.77241260536115	19	0.00410097415471489	6.19610805009363e+21
193	bravo	2.22724866408709	25	0.00557713102884321	7.74847407530345e+21
194	bravo	2.00126107649788	36	7.57160986978591e-05	1.08145993711243e+22
195	bravo	1.65121200349455	1	0.00336766593652106	7.54495899701647e+20
196	bravo	2.79109931347576	38	5.26068335356545e-12	1.16085462557402e+22
197	bravo	2.43388235762219	40	0.00190168873494085	1.20760581217374e+22
198	bravo	1.93866716067307	23	0.000857359951963374	7.09717747654676e+21
199	bravo	3.02840547655701	47	0.00831322487588132	1.42373475794922e+22
200	bravo	3.04326090050148	50	8.16604942036373e-06	1.50953310423616e+22
